Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
6240000,0.80097383,4.154150197628459,1050.7241379310344,0.68879414,3.4534159083115425,3.4534159083115425,0.010618449,0.036889732,0.00020700006,0.16900001,0.00069310016,1.0
6300000,0.7958209,3.8038461538461537,999.0,0.6834313,3.279771488288353,3.279771488288353,0.010726399,0.035163708,0.00020610006,0.1687,0.0006901302,1.0
6360000,0.78686273,4.120481927710843,1050.7241379310344,0.6826746,3.459631348478383,3.459631348478383,0.010903672,0.033217214,0.00020520005,0.16839999,0.0006871601,1.0
6420000,0.7849183,3.748062015503876,1050.7241379310344,0.6867399,3.425488698071447,3.425488698071447,0.010900278,0.03399352,0.00020430006,0.16809998,0.00068419013,1.0
6480000,0.77949166,3.8030888030888033,1050.7241379310344,0.69154316,3.4562737690775016,3.4562737690775016,0.010481368,0.034144487,0.00020340006,0.16780001,0.0006812202,1.0
6540000,0.7752355,3.9076305220883536,999.0,0.68495387,3.2705221957173842,3.2705221957173842,0.01062187,0.03842628,0.00020250003,0.1675,0.00067825016,1.0
6600000,0.7708127,3.822834645669291,1050.7241379310344,0.68829817,3.421473535998114,3.421473535998114,0.010988768,0.03703215,0.00020160005,0.1672,0.00067528,1.0
6660000,0.766996,3.945525291828794,1050.7241379310344,0.6897611,3.4090738707575303,3.4090738707575303,0.0110374065,0.034275055,0.00020070003,0.16690001,0.0006723102,1.0
6720000,0.7637331,3.956692913385827,1050.7241379310344,0.68800044,3.487711417047601,3.487711417047601,0.011065876,0.035333656,0.00019980002,0.16659999,0.00066934,1.0
6780000,0.7589236,3.9307692307692306,999.0,0.68249166,3.259724970521598,3.259724970521598,0.011381561,0.034677476,0.00019890003,0.16630003,0.00066637,1.0
6840000,0.75022304,3.933333333333333,1050.7241379310344,0.68844944,3.4119502840370965,3.4119502840370965,0.0110868765,0.034620956,0.00019800002,0.16600001,0.00066340005,1.0
6900000,0.74526,4.030651340996169,1050.7241379310344,0.69068366,3.5294675539279807,3.5294675539279807,0.011709412,0.038387306,0.00019710005,0.1657,0.00066043006,1.0
6960000,0.73762655,3.9401709401709404,1050.7241379310344,0.69089025,3.437798081782826,3.437798081782826,0.01163626,0.036553964,0.00019620001,0.1654,0.00065746007,1.0
7020000,0.7340151,4.184738955823293,999.0,0.6962212,3.2458256318651397,3.2458256318651397,0.010833066,0.034534007,0.00019530006,0.1651,0.0006544901,1.0
7080000,0.73043394,3.912350597609562,1050.7241379310344,0.6910397,3.549541604929957,3.549541604929957,0.011812352,0.03454493,0.00019440005,0.16480002,0.0006515201,1.0
7140000,0.72799826,4.289795918367347,1050.7241379310344,0.6905344,3.3779503888097304,3.3779503888097304,0.011872664,0.03760711,0.00019350005,0.16449998,0.0006485501,1.0
7200000,0.7246788,4.011583011583012,1050.7241379310344,0.6779135,3.478804195136355,3.478804195136355,0.011959577,0.03378749,0.00019260004,0.16420001,0.0006455801,1.0
7260000,0.7247403,3.884920634920635,999.0,0.6760527,3.340476052514438,3.340476052514438,0.012328704,0.034043413,0.00019170003,0.1639,0.00064261013,1.0
